Verkehrszelle,Name,NUTS_2006,NUTS_2021,Remarks,Problems,Remarks for the fixed version
52014,Linz,AT10,AT31,Categorize upwards: inlude also 52015,,
52015,Innviertel,AT11,AT311,,,
52016,Salzburg,AT8,AT323,,,
52017,Bischofshofen,AT9,AT32,Categorize upwards: inlude also 52016,,
52021,Tiroler Unterland,AT6,AT335,,,
52022,Osttirol,AT7,AT333,,,
52023,Innsbruck,AT3,AT332,,,
52024,Tiroler Oberland,AT5,AT334,,,
52025,Außerfern,AT4,AT331,,,
52026,Vorarlberg Ost,AT2,AT341,,,
52027,Bregenz,AT1,AT342,,,
53011,Mailand,IT2,ITC4,,,
53012,Turin,IT1,ITC1,Categorize upwards,,ITC1(+ITC20)
53013,Genua,IT3,ITC3,,,
53021,Bozen,IT7,ITH10,ITH1=ITH10,,
53022,Trient,IT8,ITH20,ITH2=ITH20,,
53023,Venedig,IT5,ITH3,,,
53024,Triest,IT6,ITH4,,,
53025,Bologna,IT4,ITH5,,,
53031,Rom/Mittelitalien,IT9,ITI,,,
53032,Italien Süd,IT10,ITF,Categorize upwards,,ITF(+ITG)
55001,Slowenien,SL,SI0,SI=SI0,,
56001,Kroatien,HR,HR0,HR=HR0,,
57001,Griechenland,GR,EL,,,
59101,Serbien,SRB,RS,,,
59201,Kosovo,XK,,Non-EU in NUTS_2021,The value of NUTS_2006 printed not clearly,
59301,Bosnien Herzegowina,BIH,,Non-EU in NUTS_2021,The value of NUTS_2006 printed not clearly,
59401,Mazedonien,MK,MK00,MK=MK0=MK00,,
59501,Montenegro,ME,ME000,ME=ME0=ME00=ME000,,
59901,Albanien,AL,AL0,AL=AL0,,
61011,Budapest,HU1,HU1,,,
61012,Ungarn West,HU2,HU2,,,
61013,Ungarn Ost,HU3,HU3,,,
62001,Rumänien,RO,RO,,,
63001,Bulgarien,BG,BG,,,
68001,Zypern,CY,CY000,CY=CY0=CY00=CY000,Can not be found in NUTS_2006,
69001,Türkei,TR,TR,,,
71011,Prag,CZ1,CZ02,Categorize upwards,,CZ02(+CZ010)
71012,Budweis,CZ6,CZ031,,,
71013,Pilsen,CZ5,CZ032,,,
71014,Karlsbad,CZ4,CZ041,,,
71015,Aussig,CZ3,CZ042,,,
71016,Liberec,CZ2,CZ051,,,
71017,Hradec-Kralove,CZ7,CZ05,Categorize upwards: inlude also 71016,,
71018,Brünn,CZ8,CZ06,,,
71019,Ostrava,CZ9,CZ07,Categorize upwards,,CZ07(+CZ080)
72011,Bratislava/Slowakei West,SK1,SK02,Categorize upwards,,SK02(+SK010)
72012,Slowakei Mitte/Ost,SK2,SK03,Categorize upwards,,SK03(+SK04)
73011,Warschau,PL1,PL9,Categorize upwards,,PL9(+PL7)
73012,Lublin,PL2,PL8,Categorize upwards,,PL8(+PL32)
73013,Krakau/Kattowitz,PL3,PL2,,,
73021,Oppeln,PL4,PL52,,,
73022,Breslau,PL13,PL51,Categorize upwards: inlude also 73023,,
73023,Liegnitz,PL12,PL515,,,
73031,Posen,PL5,PL41,,,
73032,Grünberg (PL),PL11,PL432,,,
73033,Landsberg (PL),PL10,PL431,,,
73034,Stettin,PL7,PL424,,,
73035,Stettin-Umland,PL8,PL428,,,
73036,Köslin,PL9,PL42,Categorize upwards: also include PL428 and PL424,,
73041,Danzig/Nordpolen,PL6,PL6,,,
74101,Litauen,LT,LT0,LT=LT0,,
74201,Lettland,LV,LV00,LV=LV0=LV00,,
74301,Estland,EE,EE00,EE=EE0=EE00,,
75011,Rußland (ohne Kaliningrad),RU1,,Non-EU in NUTS_2021,,
75012,Kaliningrad,RU2,,Non-EU in NUTS_2021,,
76101,Weißrussland,BY,,Non-EU in NUTS_2021,,
76201,Ukraine,UA,,Non-EU in NUTS_2021,,
76301,Moldavien,MD,,Non-EU in NUTS_2021,,
77101,Georgien,GEO,,Non-EU in NUTS_2021,,
77201,Armenien,ARM,,Non-EU in NUTS_2021,,
77301,Aserbaidschan,AZ,,Non-EU in NUTS_2021,,
